aar;fylke_nr_navn;kommune_nr_navn;stoenadsomraade_gruppe;kapittel;stoenadsomraade;utbetalt_mill_kr;oppdatert_dato
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;2541;Dagpenger;201,23;24102018
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;70,14;24102018
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;2650;Sykepenger;657,52;24102018
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;621,62;24102018
2014;01 Østfold;0106 Fredrikstad;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;1388,18;24102018
2014;01 Østfold;0106 Fredrikstad;Barn og foreldre;0844;Kontantstøtte;20,79;24102018
2014;01 Østfold;0106 Fredrikstad;Barn og foreldre;0845;Barnetrygd;220,62;24102018
2014;01 Østfold;0106 Fredrikstad;Barn og foreldre;2530;Foreldrepenger;229,75;24102018
2014;01 Østfold;0106 Fredrikstad;Pensjoner;0660;Krigspensjon;6,34;24102018
2014;01 Østfold;0106 Fredrikstad;Pensjoner;0667;Supplerende stønad;13,09;24102018
2014;01 Østfold;0106 Fredrikstad;Pensjoner;2670;Alderspensjon;2833,02;24102018
2014;01 Østfold;0106 Fredrikstad;Pensjoner;2680;Ytelser til gjenlevende;35,29;24102018
2014;01 Østfold;0106 Fredrikstad;Øvrig;2661;Grunn- og hjelpestønad;56,20;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;0634;Tiltakspenger;0,78;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;2541;Dagpenger;6,35;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;2,25;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;2650;Sykepenger;34,50;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;37,32;24102018
2014;01 Østfold;0111 Hvaler;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;90,75;24102018
2014;01 Østfold;0111 Hvaler;Barn og foreldre;0844;Kontantstøtte;0,41;24102018
2014;01 Østfold;0111 Hvaler;Barn og foreldre;0845;Barnetrygd;10,63;24102018
2014;01 Østfold;0111 Hvaler;Barn og foreldre;2530;Foreldrepenger;9,98;24102018
2014;01 Østfold;0111 Hvaler;Pensjoner;0660;Krigspensjon;0,22;24102018
2014;01 Østfold;0111 Hvaler;Pensjoner;2670;Alderspensjon;204,34;24102018
2014;01 Østfold;0111 Hvaler;Pensjoner;2680;Ytelser til gjenlevende;3,04;24102018
2014;01 Østfold;0111 Hvaler;Øvrig;2661;Grunn- og hjelpestønad;2,98;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;0634;Tiltakspenger;0,56;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;2541;Dagpenger;1,88;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;0,88;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;2650;Sykepenger;10,75;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;8,85;24102018
2014;01 Østfold;0118 Aremark;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;25,70;24102018
2014;01 Østfold;0118 Aremark;Barn og foreldre;0844;Kontantstøtte;0,30;24102018
2014;01 Østfold;0118 Aremark;Barn og foreldre;0845;Barnetrygd;3,77;24102018
2014;01 Østfold;0118 Aremark;Barn og foreldre;2530;Foreldrepenger;3,97;24102018
2014;01 Østfold;0118 Aremark;Pensjoner;0667;Supplerende stønad;0,12;24102018
2014;01 Østfold;0118 Aremark;Pensjoner;2670;Alderspensjon;60,06;24102018
2014;01 Østfold;0118 Aremark;Pensjoner;2680;Ytelser til gjenlevende;0,15;24102018
2014;01 Østfold;0118 Aremark;Øvrig;2661;Grunn- og hjelpestønad;0,95;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;0634;Tiltakspenger;1,13;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;2541;Dagpenger;6,74;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;2,27;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;2650;Sykepenger;27,32;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;23,32;24102018
2014;01 Østfold;0119 Marker;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;71,52;24102018
2014;01 Østfold;0119 Marker;Barn og foreldre;0844;Kontantstøtte;0,86;24102018
2014;01 Østfold;0119 Marker;Barn og foreldre;0845;Barnetrygd;9,02;24102018
2014;01 Østfold;0119 Marker;Barn og foreldre;2530;Foreldrepenger;6,67;24102018
2014;01 Østfold;0119 Marker;Pensjoner;0660;Krigspensjon;0,09;24102018
2014;01 Østfold;0119 Marker;Pensjoner;0667;Supplerende stønad;0,05;24102018
2014;01 Østfold;0119 Marker;Pensjoner;2670;Alderspensjon;164,84;24102018
2014;01 Østfold;0119 Marker;Pensjoner;2680;Ytelser til gjenlevende;1,48;24102018
2014;01 Østfold;0119 Marker;Øvrig;2661;Grunn- og hjelpestønad;2,66;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;0634;Tiltakspenger;0,15;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;2541;Dagpenger;1,17;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;0,01;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;2650;Sykepenger;4,57;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;4,30;24102018
2014;01 Østfold;0121 Rømskog;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;9,99;24102018
2014;01 Østfold;0121 Rømskog;Barn og foreldre;0844;Kontantstøtte;0,12;24102018
2014;01 Østfold;0121 Rømskog;Barn og foreldre;0845;Barnetrygd;1,58;24102018
2014;01 Østfold;0121 Rømskog;Barn og foreldre;2530;Foreldrepenger;1,15;24102018
2014;01 Østfold;0121 Rømskog;Pensjoner;2670;Alderspensjon;31,78;24102018
2014;01 Østfold;0121 Rømskog;Pensjoner;2680;Ytelser til gjenlevende;0,24;24102018
2014;01 Østfold;0121 Rømskog;Øvrig;2661;Grunn- og hjelpestønad;0,48;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;0634;Tiltakspenger;1,58;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;2541;Dagpenger;9,87;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;4,17;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;2650;Sykepenger;36,91;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;37,86;24102018
2014;01 Østfold;0122 Trøgstad;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;96,28;24102018
2014;01 Østfold;0122 Trøgstad;Barn og foreldre;0844;Kontantstøtte;1,45;24102018
2014;01 Østfold;0122 Trøgstad;Barn og foreldre;0845;Barnetrygd;15,05;24102018
2014;01 Østfold;0122 Trøgstad;Barn og foreldre;2530;Foreldrepenger;14,49;24102018
2014;01 Østfold;0122 Trøgstad;Pensjoner;0667;Supplerende stønad;0,16;24102018
2014;01 Østfold;0122 Trøgstad;Pensjoner;2670;Alderspensjon;202,58;24102018
2014;01 Østfold;0122 Trøgstad;Pensjoner;2680;Ytelser til gjenlevende;3,27;24102018
2014;01 Østfold;0122 Trøgstad;Øvrig;2661;Grunn- og hjelpestønad;3,62;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;0634;Tiltakspenger;2,33;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;2541;Dagpenger;11,94;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;2,85;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;2650;Sykepenger;57,04;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;47,67;24102018
2014;01 Østfold;0123 Spydeberg;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;86,56;24102018
2014;01 Østfold;0123 Spydeberg;Barn og foreldre;0844;Kontantstøtte;1,33;24102018
2014;01 Østfold;0123 Spydeberg;Barn og foreldre;0845;Barnetrygd;17,09;24102018
2014;01 Østfold;0123 Spydeberg;Barn og foreldre;2530;Foreldrepenger;18,94;24102018
2014;01 Østfold;0123 Spydeberg;Pensjoner;0660;Krigspensjon;0,31;24102018
2014;01 Østfold;0123 Spydeberg;Pensjoner;0667;Supplerende stønad;0,43;24102018
2014;01 Østfold;0123 Spydeberg;Pensjoner;2670;Alderspensjon;210,32;24102018
2014;01 Østfold;0123 Spydeberg;Pensjoner;2680;Ytelser til gjenlevende;2,86;24102018
2014;01 Østfold;0123 Spydeberg;Øvrig;2661;Grunn- og hjelpestønad;5,16;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;0634;Tiltakspenger;5,84;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;2541;Dagpenger;37,54;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;19,87;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;2650;Sykepenger;128,13;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;115,81;24102018
2014;01 Østfold;0124 Askim;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;303,23;24102018
2014;01 Østfold;0124 Askim;Barn og foreldre;0844;Kontantstøtte;3,90;24102018
2014;01 Østfold;0124 Askim;Barn og foreldre;0845;Barnetrygd;45,83;24102018
2014;01 Østfold;0124 Askim;Barn og foreldre;2530;Foreldrepenger;41,31;24102018
2014;01 Østfold;0124 Askim;Pensjoner;0660;Krigspensjon;0,74;24102018
2014;01 Østfold;0124 Askim;Pensjoner;0667;Supplerende stønad;2,39;24102018
2014;01 Østfold;0124 Askim;Pensjoner;2670;Alderspensjon;549,60;24102018
2014;01 Østfold;0124 Askim;Pensjoner;2680;Ytelser til gjenlevende;8,44;24102018
2014;01 Østfold;0124 Askim;Øvrig;2661;Grunn- og hjelpestønad;10,28;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;0634;Tiltakspenger;6,79;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;2541;Dagpenger;26,30;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;13,06;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;2650;Sykepenger;92,45;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;91,24;24102018
2014;01 Østfold;0125 Eidsberg;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;173,44;24102018
2014;01 Østfold;0125 Eidsberg;Barn og foreldre;0844;Kontantstøtte;2,97;24102018
2014;01 Østfold;0125 Eidsberg;Barn og foreldre;0845;Barnetrygd;34,26;24102018
2014;01 Østfold;0125 Eidsberg;Barn og foreldre;2530;Foreldrepenger;29,39;24102018
2014;01 Østfold;0125 Eidsberg;Pensjoner;0660;Krigspensjon;0,56;24102018
2014;01 Østfold;0125 Eidsberg;Pensjoner;0667;Supplerende stønad;1,38;24102018
2014;01 Østfold;0125 Eidsberg;Pensjoner;2670;Alderspensjon;418,28;24102018
2014;01 Østfold;0125 Eidsberg;Pensjoner;2680;Ytelser til gjenlevende;5,68;24102018
2014;01 Østfold;0125 Eidsberg;Øvrig;2661;Grunn- og hjelpestønad;8,52;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;0634;Tiltakspenger;1,73;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;2541;Dagpenger;7,89;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;2,34;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;2650;Sykepenger;33,23;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;33,14;24102018
2014;01 Østfold;0127 Skiptvet;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;57,79;24102018
2014;01 Østfold;0127 Skiptvet;Barn og foreldre;0844;Kontantstøtte;0,81;24102018
2014;01 Østfold;0127 Skiptvet;Barn og foreldre;0845;Barnetrygd;11,99;24102018
2014;01 Østfold;0127 Skiptvet;Barn og foreldre;2530;Foreldrepenger;14,01;24102018
2014;01 Østfold;0127 Skiptvet;Pensjoner;0667;Supplerende stønad;0,03;24102018
2014;01 Østfold;0127 Skiptvet;Pensjoner;2670;Alderspensjon;123,05;24102018
2014;01 Østfold;0127 Skiptvet;Pensjoner;2680;Ytelser til gjenlevende;1,58;24102018
2014;01 Østfold;0127 Skiptvet;Øvrig;2661;Grunn- og hjelpestønad;2,59;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;0634;Tiltakspenger;3,81;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;2541;Dagpenger;15,63;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;6,52;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;2650;Sykepenger;58,34;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;64,34;24102018
2014;01 Østfold;0128 Rakkestad;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;151,15;24102018
2014;01 Østfold;0128 Rakkestad;Barn og foreldre;0844;Kontantstøtte;2,24;24102018
2014;01 Østfold;0128 Rakkestad;Barn og foreldre;0845;Barnetrygd;23,09;24102018
2014;01 Østfold;0128 Rakkestad;Barn og foreldre;2530;Foreldrepenger;26,33;24102018
2014;01 Østfold;0128 Rakkestad;Pensjoner;0667;Supplerende stønad;0,63;24102018
2014;01 Østfold;0128 Rakkestad;Pensjoner;2670;Alderspensjon;297,87;24102018
2014;01 Østfold;0128 Rakkestad;Pensjoner;2680;Ytelser til gjenlevende;4,44;24102018
2014;01 Østfold;0128 Rakkestad;Øvrig;2661;Grunn- og hjelpestønad;5,55;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;0634;Tiltakspenger;1,92;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;2541;Dagpenger;16,51;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;4,56;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;2650;Sykepenger;58,02;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;54,84;24102018
2014;01 Østfold;0135 Råde;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;110,19;24102018
2014;01 Østfold;0135 Råde;Barn og foreldre;0844;Kontantstøtte;1,89;24102018
2014;01 Østfold;0135 Råde;Barn og foreldre;0845;Barnetrygd;20,43;24102018
2014;01 Østfold;0135 Råde;Barn og foreldre;2530;Foreldrepenger;20,14;24102018
2014;01 Østfold;0135 Råde;Pensjoner;0660;Krigspensjon;0,53;24102018
2014;01 Østfold;0135 Råde;Pensjoner;0667;Supplerende stønad;0,29;24102018
2014;01 Østfold;0135 Råde;Pensjoner;2670;Alderspensjon;290,02;24102018
2014;01 Østfold;0135 Råde;Pensjoner;2680;Ytelser til gjenlevende;3,71;24102018
2014;01 Østfold;0135 Råde;Øvrig;2661;Grunn- og hjelpestønad;6,04;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;0634;Tiltakspenger;2,55;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;2541;Dagpenger;37,56;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;10,85;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;2650;Sykepenger;128,86;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;119,72;24102018
2014;01 Østfold;0136 Rygge;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;251,91;24102018
2014;01 Østfold;0136 Rygge;Barn og foreldre;0844;Kontantstøtte;3,30;24102018
2014;01 Østfold;0136 Rygge;Barn og foreldre;0845;Barnetrygd;44,77;24102018
2014;01 Østfold;0136 Rygge;Barn og foreldre;2530;Foreldrepenger;43,40;24102018
2014;01 Østfold;0136 Rygge;Pensjoner;0660;Krigspensjon;0,34;24102018
2014;01 Østfold;0136 Rygge;Pensjoner;0667;Supplerende stønad;1,26;24102018
2014;01 Østfold;0136 Rygge;Pensjoner;2670;Alderspensjon;577,01;24102018
2014;01 Østfold;0136 Rygge;Pensjoner;2680;Ytelser til gjenlevende;6,65;24102018
2014;01 Østfold;0136 Rygge;Øvrig;2661;Grunn- og hjelpestønad;13,66;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;0634;Tiltakspenger;0,75;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;2541;Dagpenger;9,41;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;2,41;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;2650;Sykepenger;51,20;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;36,56;24102018
2014;01 Østfold;0137 Våler;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;69,48;24102018
2014;01 Østfold;0137 Våler;Barn og foreldre;0844;Kontantstøtte;1,31;24102018
2014;01 Østfold;0137 Våler;Barn og foreldre;0845;Barnetrygd;16,01;24102018
2014;01 Østfold;0137 Våler;Barn og foreldre;2530;Foreldrepenger;20,28;24102018
2014;01 Østfold;0137 Våler;Pensjoner;0660;Krigspensjon;0,18;24102018
2014;01 Østfold;0137 Våler;Pensjoner;0667;Supplerende stønad;0,13;24102018
2014;01 Østfold;0137 Våler;Pensjoner;2670;Alderspensjon;149,13;24102018
2014;01 Østfold;0137 Våler;Pensjoner;2680;Ytelser til gjenlevende;2,71;24102018
2014;01 Østfold;0137 Våler;Øvrig;2661;Grunn- og hjelpestønad;3,35;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;0634;Tiltakspenger;1,55;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;2541;Dagpenger;13,59;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;3,38;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;2650;Sykepenger;49,60;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;36,01;24102018
2014;01 Østfold;0138 Hobøl;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;68,93;24102018
2014;01 Østfold;0138 Hobøl;Barn og foreldre;0844;Kontantstøtte;1,91;24102018
2014;01 Østfold;0138 Hobøl;Barn og foreldre;0845;Barnetrygd;16,12;24102018
2014;01 Østfold;0138 Hobøl;Barn og foreldre;2530;Foreldrepenger;19,75;24102018
2014;01 Østfold;0138 Hobøl;Pensjoner;0660;Krigspensjon;0,22;24102018
2014;01 Østfold;0138 Hobøl;Pensjoner;0667;Supplerende stønad;0,11;24102018
2014;01 Østfold;0138 Hobøl;Pensjoner;2670;Alderspensjon;162,88;24102018
2014;01 Østfold;0138 Hobøl;Pensjoner;2680;Ytelser til gjenlevende;1,34;24102018
2014;01 Østfold;0138 Hobøl;Øvrig;2661;Grunn- og hjelpestønad;3,22;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;0634;Tiltakspenger;4,28;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;2541;Dagpenger;38,37;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;7,92;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;2650;Sykepenger;135,44;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;121,14;24102018
2014;02 Akershus;0211 Vestby;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;166,90;24102018
2014;02 Akershus;0211 Vestby;Barn og foreldre;0844;Kontantstøtte;2,99;24102018
2014;02 Akershus;0211 Vestby;Barn og foreldre;0845;Barnetrygd;52,05;24102018
2014;02 Akershus;0211 Vestby;Barn og foreldre;2530;Foreldrepenger;65,82;24102018
2014;02 Akershus;0211 Vestby;Pensjoner;0660;Krigspensjon;0,64;24102018
2014;02 Akershus;0211 Vestby;Pensjoner;0667;Supplerende stønad;0,88;24102018
2014;02 Akershus;0211 Vestby;Pensjoner;2670;Alderspensjon;538,16;24102018
2014;02 Akershus;0211 Vestby;Pensjoner;2680;Ytelser til gjenlevende;5,67;24102018
2014;02 Akershus;0211 Vestby;Øvrig;2661;Grunn- og hjelpestønad;9,68;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;0634;Tiltakspenger;6,35;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;2541;Dagpenger;62,61;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;2620;Stønad til enslig mor eller far;16,53;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;2650;Sykepenger;221,59;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;2651;Arbeidsavklaringspenger;194,34;24102018
2014;02 Akershus;0213 Ski;Arbeidsliv og sykdom;2655;Uføretrygd og yrkesskade;253,39;24102018
2014;02 Akershus;0213 Ski;Barn og foreldre;0844;Kontantstøtte;5,50;24102018
2014;02 Akershus;0213 Ski;Barn og foreldre;0845;Barnetrygd;94,77;24102018
2014;02 Akershus;0213 Ski;Barn og foreldre;2530;Foreldrepenger;112,32;24102018
2014;02 Akershus;0213 Ski;Pensjoner;0660;Krigspensjon;1,03;24102018
2014;02 Akershus;0213 Ski;Pensjoner;0667;Supplerende stønad;2,27;24102018
2014;02 Akershus;0213 Ski;Pensjoner;2670;Alderspensjon;1042,58;24102018
2014;02 Akershus;0213 Ski;Pensjoner;2680;Ytelser til gjenlevende;14,72;24102018
2014;02 Akershus;0213 Ski;Øvrig;2661;Grunn- og hjelpestønad;17,74;24102018
2014;02 Akershus;0214 Ås;Arbeidsliv og sykdom;0634;Tiltakspenger;4,48;24102018
2014;02 Akershus;0214 Ås;Arbeidsliv og sykdom;2541;Dagpenger;34,13;24102018
